sentnum,word,word_position,word_length
2.0,three,15,5
2.0,middle,16,6
2.0,fingers,17,7
2.0,curled,18,6
2.0,and,19,3
2.0,gesturing,20,9
2.0,in,21,2
2.0,salutation,22,10
2.0,while,23,5
2.0,presenting,24,10
2.0,the,25,3
2.0,front,26,5
2.0,or,27,2
2.0,back,28,4
2.0,of,29,2
2.0,the,30,3
2.0,hand;,31,5
2.0,the,1,3
2.0,hand,2,4
2.0,may,3,3
2.0,be,4,2
2.0,rotated,5,7
2.0,back,6,4
2.0,and,7,3
2.0,forth,8,5
2.0,for,9,3
2.0,emphasis.,10,9
2.0,The,1,3
2.0,shaka,2,5
2.0,sign,3,4
2.0,was,4,3
2.0,adopted,5,7
2.0,from,6,4
2.0,local,7,5
2.0,Hawaiian,8,8
2.0,culture,9,7
2.0,and,10,3
2.0,customs,11,7
2.0,by,12,2
2.0,visiting,13,8
2.0,surfers,14,7
2.0,in,15,2
2.0,the,16,3
2.0,"1960s,",17,6
2.0,and,18,3
2.0,its,19,3
2.0,use,20,3
2.0,has,21,3
2.0,spread,22,6
2.0,around,23,6
2.0,the,24,3
2.0,world.,25,6
2.0,It,1,2
2.0,is,2,2
2.0,primarily,3,9
2.0,used,4,4
2.0,as,5,2
2.0,a,6,1
2.0,greeting,7,8
2.0,gesture,8,7
2.0,or,9,2
2.0,to,10,2
2.0,express,11,7
2.0,"thanks,",12,7
2.0,"acknowledgement,",13,16
2.0,or,14,2
2.0,even,15,4
2.0,praise,16,6
2.0,from,17,4
2.0,one,18,3
2.0,individual,19,10
2.0,to,20,2
2.0,another.,21,8
2.0,Residents,1,9
2.0,of,2,2
2.0,Hawaii,3,6
2.0,use,4,3
2.0,the,5,3
2.0,shaka,6,5
2.0,to,7,2
2.0,convey,8,6
2.0,the,9,3
2.0,"""Aloha",10,6
2.0,"Spirit"":",11,8
2.0,a,12,1
2.0,concept,13,7
2.0,of,14,2
2.0,"friendship,",15,11
2.0,"understanding,",16,14
2.0,"compassion,",17,11
2.0,and,18,3
2.0,solidarity,19,10
2.0,among,20,5
2.0,the,21,3
2.0,various,22,7
2.0,ethnic,23,6
2.0,cultures,24,8
2.0,that,25,4
2.0,reside,26,6
2.0,in,27,2
2.0,Hawaii.,28,7
2.0,While,1,5
2.0,the,2,3
2.0,exact,3,5
2.0,origin,4,6
2.0,of,5,2
2.0,the,6,3
2.0,sign,7,4
2.0,is,8,2
2.0,"unclear,",9,8
2.0,some,10,4
2.0,have,11,4
2.0,suggested,12,9
2.0,its,13,3
2.0,origin,14,6
2.0,was,15,3
2.0,derived,16,7
2.0,from,17,4
2.0,Spanish,18,7
2.0,"immigrants,",19,11
2.0,who,20,3
2.0,folded,21,6
2.0,their,22,5
2.0,middle,23,6
2.0,fingers,24,7
2.0,and,25,3
2.0,took,26,4
2.0,their,27,5
2.0,thumbs,28,6
2.0,to,29,2
2.0,their,30,5
2.0,lips,31,4
2.0,as,32,2
2.0,a,33,1
2.0,friendly,34,8
2.0,gesture,35,7
2.0,to,36,2
2.0,represent,37,9
2.0,sharing,38,7
2.0,a,39,1
2.0,drink,40,5
2.0,with,41,4
2.0,the,42,3
2.0,natives,43,7
2.0,they,44,4
2.0,met,45,3
2.0,in,46,2
2.0,Hawaii.,47,7
3.0,In,1,2
3.0,competitive,2,11
3.0,"sports,",3,7
3.0,doping,4,6
3.0,is,5,2
3.0,the,6,3
3.0,use,7,3
3.0,of,8,2
3.0,banned,9,6
3.0,performance-,10,12
3.0,enhancing,11,9
3.0,drugs,12,5
3.0,by,13,2
3.0,athletic,14,8
3.0,competitors.,15,12
3.0,The,1,3
3.0,term,2,4
3.0,doping,3,6
3.0,is,4,2
3.0,widely,5,6
3.0,used,6,4
3.0,by,7,2
3.0,organizations,8,13
3.0,which,9,5
3.0,regulate,10,8
3.0,sporting,11,8
3.0,competitions.,12,13
3.0,The,1,3
3.0,use,2,3
3.0,of,3,2
3.0,drugs,4,5
3.0,to,5,2
3.0,enhance,6,7
3.0,performance,7,11
3.0,is,8,2
3.0,largely,9,7
3.0,considered,10,10
3.0,"unethical,",11,10
3.0,and,12,3
3.0,is,13,2
3.0,therefore,14,9
3.0,prohibited,15,10
3.0,by,16,2
3.0,most,17,4
3.0,international,18,13
3.0,sports,19,6
3.0,"organizations,",20,14
3.0,including,21,9
3.0,the,22,3
3.0,International,23,13
3.0,Olympic,24,7
3.0,Committee.,25,10
3.0,"Furthermore,",1,12
3.0,athletes,2,8
3.0,who,3,3
3.0,take,4,4
3.0,explicit,5,8
3.0,measures,6,8
3.0,to,7,2
3.0,evade,8,5
3.0,detection,9,9
3.0,exacerbate,10,10
3.0,the,11,3
3.0,ethical,12,7
3.0,violation,13,9
3.0,with,14,4
3.0,overt,15,5
3.0,deception,16,9
3.0,and,17,3
3.0,cheating.,18,9
3.0,Despite,1,7
3.0,its,2,3
3.0,prevalence,3,10
3.0,in,4,2
3.0,the,5,3
3.0,headlines,6,9
3.0,"recently,",7,9
3.0,doping,8,6
3.0,is,9,2
3.0,not,10,3
3.0,a,11,1
3.0,new,12,3
3.0,phenomenon;,13,11
3.0,in,1,2
3.0,"fact,",2,5
3.0,it,3,2
3.0,is,4,2
3.0,as,5,2
3.0,old,6,3
3.0,as,7,2
3.0,sport,8,5
3.0,itself.,9,7
3.0,From,1,4
3.0,the,2,3
3.0,use,3,3
3.0,of,4,2
3.0,substances,5,10
3.0,in,6,2
3.0,ancient,7,7
3.0,chariot,8,7
3.0,races,9,5
3.0,to,10,2
3.0,more,11,4
3.0,recent,12,6
3.0,controversies,13,13
3.0,in,14,2
3.0,baseball,15,8
3.0,and,16,3
3.0,"cycling,",17,8
3.0,popular,18,7
3.0,views,19,5
3.0,among,20,5
3.0,athletes,21,8
3.0,have,22,4
3.0,varied,23,6
3.0,widely,24,6
3.0,over,25,4
3.0,the,26,3
3.0,years.,27,6
3.0,In,1,2
3.0,recent,2,6
3.0,"decades,",3,8
3.0,authorities,4,11
3.0,and,5,3
3.0,sporting,6,8
3.0,organizations,7,13
3.0,have,8,4
3.0,tried,9,5
3.0,to,10,2
3.0,strictly,11,8
3.0,regulate,12,8
3.0,the,13,3
3.0,use,14,3
3.0,of,15,2
3.0,drugs,16,5
3.0,in,17,2
3.0,sport.,18,6
3.0,The,1,3
3.0,primary,2,7
3.0,reasons,3,7
3.0,for,4,3
3.0,this,5,4
3.0,ban,6,3
3.0,are,7,3
3.0,the,8,3
3.0,health,9,6
3.0,risks,10,5
3.0,of,11,2
3.0,performance-,12,12
3.0,enhancing,13,9
3.0,"drugs,",14,6
3.0,the,15,3
3.0,equality,16,8
3.0,of,17,2
3.0,opportunity,18,11
3.0,for,19,3
3.0,"athletes,",20,9
3.0,and,21,3
3.0,the,22,3
3.0,positive,23,8
3.0,example,24,7
3.0,to,25,2
3.0,the,26,3
3.0,public,27,6
3.0,set,28,3
3.0,by,29,2
3.0,drug-,30,5
3.0,free,31,4
3.0,sport.,32,6
3.0,Anti-,1,5
3.0,doping,2,6
3.0,authorities,3,11
3.0,have,4,4
3.0,repeatedly,5,10
3.0,emphasized,6,10
3.0,that,7,4
3.0,using,8,5
3.0,performance-,9,12
3.0,enhancing,10,9
3.0,drugs,11,5
3.0,goes,12,4
3.0,against,13,7
3.0,the,14,3
3.0,"""spirit",15,7
3.0,of,16,2
3.0,"sport"".",17,7
4.0,The,1,3
4.0,thylacine,2,9
4.0,was,3,3
4.0,the,4,3
4.0,largest,5,7
4.0,known,6,5
4.0,carnivorous,7,11
4.0,marsupial,8,9
4.0,of,9,2
4.0,modern,10,6
4.0,times.,11,6
4.0,It,1,2
4.0,is,2,2
4.0,commonly,3,8
4.0,known,4,5
4.0,as,5,2
4.0,the,6,3
4.0,Tasmanian,7,9
4.0,tiger,8,5
4.0,because,9,7
4.0,of,10,2
4.0,its,11,3
4.0,striped,12,7
4.0,lower,13,5
4.0,"back,",14,5
4.0,or,15,2
4.0,the,16,3
4.0,Tasmanian,17,9
4.0,wolf,18,4
4.0,because,19,7
4.0,of,20,2
4.0,its,21,3
4.0,canine-,22,7
4.0,like,23,4
4.0,"appearance,",24,11
4.0,traits,25,6
4.0,and,26,3
4.0,attributes.,27,11
4.0,Native,1,6
4.0,to,2,2
4.0,continental,3,11
4.0,"Australia,",4,10
4.0,"Tasmania,",5,9
4.0,and,6,3
4.0,New,7,3
4.0,"Guinea,",8,7
4.0,it,9,2
4.0,is,10,2
4.0,believed,11,8
4.0,to,12,2
4.0,have,13,4
4.0,become,14,6
4.0,extinct,15,7
4.0,in,16,2
4.0,the,17,3
4.0,twentieth,18,9
4.0,century.,19,8
4.0,The,1,3
4.0,thylacine,2,9
4.0,was,3,3
4.0,one,4,3
4.0,of,5,2
4.0,only,6,4
4.0,two,7,3
4.0,marsupials,8,10
4.0,to,9,2
4.0,have,10,4
4.0,a,11,1
4.0,pouch,12,5
4.0,in,13,2
4.0,both,14,4
4.0,sexes.,15,6
4.0,The,1,3
4.0,male,2,4
4.0,had,3,3
4.0,a,4,1
4.0,pouch,5,5
4.0,that,6,4
4.0,protected,7,9
4.0,the,8,3
4.0,external,9,8
4.0,reproductive,10,12
4.0,organs,11,6
4.0,while,12,5
4.0,running,13,7
4.0,through,14,7
4.0,thick,15,5
4.0,brush.,16,6
4.0,The,1,3
4.0,thylacine,2,9
4.0,has,3,3
4.0,been,4,4
4.0,described,5,9
4.0,as,6,2
4.0,a,7,1
4.0,formidable,8,10
4.0,predator,9,8
4.0,because,10,7
4.0,of,11,2
4.0,its,12,3
4.0,ability,13,7
4.0,to,14,2
4.0,survive,15,7
4.0,and,16,3
4.0,hunt,17,4
4.0,prey,18,4
4.0,in,19,2
4.0,extremely,20,9
4.0,sparsely,21,8
4.0,populated,22,9
4.0,areas.,23,6
4.0,The,1,3
4.0,thylacine,2,9
4.0,had,3,3
4.0,become,4,6
4.0,extremely,5,9
4.0,rare,6,4
4.0,or,7,2
4.0,extinct,8,7
4.0,on,9,2
4.0,the,10,3
4.0,Australian,11,10
4.0,mainland,12,8
4.0,before,13,6
4.0,British,14,7
4.0,settlement,15,10
4.0,of,16,2
4.0,the,17,3
4.0,"continent,",18,10
4.0,but,19,3
4.0,it,20,2
4.0,survived,21,8
4.0,on,22,2
4.0,the,23,3
4.0,island,24,6
4.0,of,25,2
4.0,Tasmania.,26,9
4.0,Intensive,1,9
4.0,hunting,2,7
4.0,encouraged,3,10
4.0,by,4,2
4.0,bounties,5,8
4.0,is,6,2
4.0,generally,7,9
4.0,blamed,8,6
4.0,for,9,3
4.0,its,10,3
4.0,"extinction,",11,11
4.0,but,12,3
4.0,other,13,5
4.0,contributing,14,12
4.0,factors,15,7
4.0,may,16,3
4.0,have,17,4
4.0,included,18,8
4.0,"disease,",19,8
4.0,the,20,3
4.0,introduction,21,12
4.0,of,22,2
4.0,"dogs,",23,5
4.0,and,24,3
4.0,human,25,5
4.0,encroachment,26,12
4.0,into,27,4
4.0,its,28,3
4.0,habitat.,29,8
4.0,Despite,1,7
4.0,its,2,3
4.0,official,3,8
4.0,classification,4,14
4.0,as,5,2
4.0,"extinct,",6,8
4.0,sightings,7,9
4.0,are,8,3
4.0,still,9,5
4.0,"reported,",10,9
4.0,though,11,6
4.0,none,12,4
4.0,have,13,4
4.0,been,14,4
4.0,conclusively,15,12
4.0,proven.,16,7
5.0,World,1,5
5.0,Environment,2,11
5.0,Day,3,3
5.0,(WED),4,5
5.0,is,5,2
5.0,celebrated,6,10
5.0,on,7,2
5.0,the,8,3
5.0,fifth,9,5
5.0,of,10,2
5.0,June,11,4
5.0,every,12,5
5.0,year,13,4
5.0,and,14,3
5.0,is,15,2
5.0,the,16,3
5.0,United,17,6
5.0,Nation's,18,8
5.0,principal,19,9
5.0,vehicle,20,7
5.0,for,21,3
5.0,encouraging,22,11
5.0,awareness,23,9
5.0,and,24,3
5.0,action,25,6
5.0,for,26,3
5.0,the,27,3
5.0,protection,28,10
5.0,of,29,2
5.0,the,30,3
5.0,environment.,31,12
5.0,First,1,5
5.0,held,2,4
5.0,in,3,2
5.0,"1974,",4,5
5.0,it,5,2
5.0,has,6,3
5.0,been,7,4
5.0,a,8,1
5.0,flagship,9,8
5.0,campaign,10,8
5.0,for,11,3
5.0,raising,12,7
5.0,awareness,13,9
5.0,on,14,2
5.0,emerging,15,8
5.0,environmental,16,13
5.0,issues,17,6
5.0,from,18,4
5.0,marine,19,6
5.0,"pollution,",20,10
5.0,human,21,5
5.0,"overpopulation,",22,15
5.0,and,23,3
5.0,global,24,6
5.0,warming.,25,8
5.0,WED,1,3
5.0,has,2,3
5.0,grown,3,5
5.0,to,4,2
5.0,become,5,6
5.0,a,6,1
5.0,global,7,6
5.0,platform,8,8
5.0,for,9,3
5.0,public,10,6
5.0,"outreach,",11,9
5.0,with,12,4
5.0,participation,13,13
5.0,from,14,4
5.0,over,15,4
5.0,one,16,3
5.0,hundred,17,7
5.0,countries,18,9
5.0,annually.,19,9
5.0,Each,1,4
5.0,"year,",2,5
5.0,WED,3,3
5.0,chooses,4,7
5.0,a,5,1
5.0,new,6,3
5.0,theme,7,5
5.0,that,8,4
5.0,major,9,5
5.0,"corporations,",10,13
5.0,non-,11,4
5.0,governmental,12,12
5.0,"organizations,",13,14
5.0,"communities,",14,12
5.0,governments,15,11
5.0,and,16,3
5.0,celebrities,17,11
5.0,worldwide,18,9
5.0,adopt,19,5
5.0,to,20,2
5.0,advocate,21,8
5.0,environmental,22,13
5.0,causes.,23,7
5.0,For,1,3
5.0,"example,",2,8
5.0,the,3,3
5.0,theme,4,5
5.0,for,5,3
5.0,2018,6,4
5.0,is,7,2
5.0,"""Beat",8,5
5.0,Plastic,9,7
5.0,"Pollution"".",10,11
5.0,The,1,3
5.0,goal,2,4
5.0,is,3,2
5.0,to,4,2
5.0,encourage,5,9
5.0,people,6,6
5.0,to,7,2
5.0,change,8,6
5.0,their,9,5
5.0,everyday,10,8
5.0,habits,11,6
5.0,in,12,2
5.0,ways,13,4
5.0,which,14,5
5.0,can,15,3
5.0,reduce,16,6
5.0,plastic,17,7
5.0,pollution.,18,10
5.0,"Specifically,",1,13
5.0,the,2,3
5.0,campaign,3,8
5.0,hopes,4,5
5.0,to,5,2
5.0,reduce,6,6
5.0,the,7,3
5.0,prevalence,8,10
5.0,of,9,2
5.0,single-,10,7
5.0,use,11,3
5.0,or,12,2
5.0,disposable,13,10
5.0,plastic,14,7
5.0,"items,",15,6
5.0,as,16,2
5.0,they,17,4
5.0,have,18,4
5.0,severe,19,6
5.0,environmental,20,13
5.0,consequences.,21,13
5.0,In,1,2
5.0,response,2,8
5.0,to,3,2
5.0,this,4,4
5.0,"campaign,",5,9
5.0,the,6,3
5.0,Indian,7,6
5.0,government,8,10
5.0,has,9,3
5.0,pledged,10,7
5.0,to,11,2
5.0,eliminate,12,9
5.0,all,13,3
5.0,single-,14,7
5.0,use,15,3
5.0,plastic,16,7
5.0,in,17,2
5.0,India,18,5
5.0,by,19,2
5.0,2022.,20,5
6.0,A,1,1
6.0,monocle,2,7
6.0,is,3,2
6.0,a,4,1
6.0,type,5,4
6.0,of,6,2
6.0,corrective,7,10
6.0,lens,8,4
6.0,used,9,4
6.0,to,10,2
6.0,correct,11,7
6.0,or,12,2
6.0,enhance,13,7
6.0,the,14,3
6.0,vision,15,6
6.0,in,16,2
6.0,only,17,4
6.0,one,18,3
6.0,eye.,19,4
6.0,It,1,2
6.0,consists,2,8
6.0,of,3,2
6.0,a,4,1
6.0,circular,5,8
6.0,"lens,",6,5
6.0,generally,7,9
6.0,with,8,4
6.0,a,9,1
6.0,wire,10,4
6.0,ring,11,4
6.0,around,12,6
6.0,the,13,3
6.0,circumference,14,13
6.0,that,15,4
6.0,can,16,3
6.0,be,17,2
6.0,attached,18,8
6.0,to,19,2
6.0,a,20,1
6.0,string,21,6
6.0,or,22,2
6.0,wire.,23,5
6.0,The,1,3
6.0,other,2,5
6.0,end,3,3
6.0,of,4,2
6.0,the,5,3
6.0,string,6,6
6.0,is,7,2
6.0,then,8,4
6.0,connected,9,9
6.0,to,10,2
6.0,the,11,3
6.0,wearer's,12,8
6.0,clothing,13,8
6.0,to,14,2
6.0,avoid,15,5
6.0,losing,16,6
6.0,the,17,3
6.0,monocle.,18,8
6.0,During,1,6
6.0,the,2,3
6.0,late,3,4
6.0,nineteenth,4,10
6.0,"century,",5,8
6.0,the,6,3
6.0,monocle,7,7
6.0,was,8,3
6.0,generally,9,9
6.0,associated,10,10
6.0,with,11,4
6.0,"wealthy,",12,8
6.0,upper-,13,6
6.0,class,14,5
6.0,men.,15,4
6.0,Combined,1,8
6.0,with,2,4
6.0,a,3,1
6.0,long,4,4
6.0,coat,5,4
6.0,and,6,3
6.0,a,7,1
6.0,top,8,3
6.0,"hat,",9,4
6.0,the,10,3
6.0,monocle,11,7
6.0,completed,12,9
6.0,the,13,3
6.0,costume,14,7
6.0,of,15,2
6.0,the,16,3
6.0,stereotypical,17,13
6.0,late,18,4
6.0,nineteenth,19,10
6.0,century,20,7
6.0,capitalist.,21,11
6.0,Monocles,1,8
6.0,were,2,4
6.0,also,3,4
6.0,accessories,4,11
6.0,of,5,2
6.0,military,6,8
6.0,officers,7,8
6.0,from,8,4
6.0,this,9,4
6.0,period.,10,7
6.0,Despite,1,7
6.0,their,2,5
6.0,prevalence,3,10
6.0,in,4,2
6.0,the,5,3
6.0,late,6,4
6.0,nineteenth,7,10
6.0,"century,",8,8
6.0,monocles,9,8
6.0,are,10,3
6.0,rarely,11,6
6.0,worn,12,4
6.0,today.,13,6
6.0,This,1,4
6.0,is,2,2
6.0,due,3,3
6.0,in,4,2
6.0,large,5,5
6.0,part,6,4
6.0,to,7,2
6.0,advances,8,8
6.0,in,9,2
6.0,"optometry,",10,10
6.0,which,11,5
6.0,allow,12,5
6.0,for,13,3
6.0,better,14,6
6.0,measurement,15,11
6.0,of,16,2
6.0,refractive,17,10
6.0,"error,",18,6
6.0,so,19,2
6.0,that,20,4
6.0,glasses,21,7
6.0,and,22,3
6.0,contact,23,7
6.0,lenses,24,6
6.0,can,25,3
6.0,be,26,2
6.0,prescribed,27,10
6.0,with,28,4
6.0,different,29,9
6.0,strengths,30,9
6.0,in,31,2
6.0,each,32,4
6.0,eye.,33,4
7.0,Wine,1,4
7.0,tasting,2,7
7.0,is,3,2
7.0,the,4,3
7.0,sensory,5,7
7.0,examination,6,11
7.0,and,7,3
7.0,evaluation,8,10
7.0,of,9,2
7.0,wine.,10,5
7.0,While,1,5
7.0,the,2,3
7.0,practice,3,8
7.0,of,4,2
7.0,wine,5,4
7.0,tasting,6,7
7.0,is,7,2
7.0,as,8,2
7.0,ancient,9,7
7.0,as,10,2
7.0,its,11,3
7.0,"production,",12,11
7.0,a,13,1
7.0,more,14,4
7.0,formalized,15,10
7.0,methodology,16,11
7.0,has,17,3
7.0,slowly,18,6
7.0,become,19,6
7.0,established,20,11
7.0,from,21,4
7.0,the,22,3
7.0,late,23,4
7.0,middle,24,6
7.0,ages,25,4
7.0,onwards.,26,8
7.0,"Modern,",1,7
7.0,professional,2,12
7.0,wine,3,4
7.0,tasters,4,7
7.0,use,5,3
7.0,a,6,1
7.0,constantly,7,10
7.0,evolving,8,8
7.0,specialized,9,11
7.0,terminology,10,11
7.0,which,11,5
7.0,is,12,2
7.0,used,13,4
7.0,to,14,2
7.0,describe,15,8
7.0,the,16,3
7.0,range,17,5
7.0,of,18,2
7.0,perceived,19,9
7.0,"flavors,",20,8
7.0,aromas,21,6
7.0,and,22,3
7.0,general,23,7
7.0,characteristics,24,15
7.0,of,25,2
7.0,a,26,1
7.0,wine.,27,5
7.0,In,1,2
7.0,recent,2,6
7.0,"years,",3,6
7.0,results,4,7
7.0,challenging,5,11
7.0,the,6,3
7.0,reliability,7,11
7.0,of,8,2
7.0,wine,9,4
7.0,tasting,10,7
7.0,in,11,2
7.0,both,12,4
7.0,experts,13,7
7.0,and,14,3
7.0,consumers,15,9
7.0,have,16,4
7.0,surfaced.,17,9
7.0,For,1,3
7.0,"example,",2,8
7.0,studies,3,7
7.0,showed,4,6
7.0,that,5,4
7.0,people,6,6
7.0,expect,7,6
7.0,more,8,4
7.0,expensive,9,9
7.0,wine,10,4
7.0,to,11,2
7.0,have,12,4
7.0,more,13,4
7.0,desirable,14,9
7.0,characteristics,15,15
7.0,than,16,4
7.0,less,17,4
7.0,expensive,18,9
7.0,wine:,19,5
7.0,When,20,4
7.0,tasters,21,7
7.0,are,22,3
7.0,given,23,5
7.0,wine,24,4
7.0,that,25,4
7.0,they,26,4
7.0,are,27,3
7.0,falsely,28,7
7.0,told,29,4
7.0,is,30,2
7.0,expensive,31,9
7.0,they,32,4
7.0,virtually,33,9
7.0,always,34,6
7.0,report,35,6
7.0,it,36,2
7.0,as,37,2
7.0,tasting,38,7
7.0,better,39,6
7.0,than,40,4
7.0,the,41,3
7.0,very,42,4
7.0,same,43,4
7.0,wine,44,4
7.0,when,45,4
7.0,they,46,4
7.0,are,47,3
7.0,told,48,4
7.0,that,49,4
7.0,it,50,2
7.0,is,51,2
7.0,inexpensive.,52,12
7.0,Other,1,5
7.0,studies,2,7
7.0,show,3,4
7.0,that,4,4
7.0,tasters',5,8
7.0,judgment,6,8
7.0,can,7,3
7.0,be,8,2
7.0,prejudiced,9,10
7.0,by,10,2
7.0,knowing,11,7
7.0,details,12,7
7.0,of,13,2
7.0,a,14,1
7.0,"wine,",15,5
7.0,such,16,4
7.0,as,17,2
7.0,geographic,18,10
7.0,"origin,",19,7
7.0,"reputation,",20,11
7.0,or,21,2
7.0,other,22,5
7.0,considerations.,23,15
7.0,Objective,1,9
7.0,wine,2,4
7.0,tasting,3,7
7.0,therefore,4,9
7.0,requires,5,8
7.0,the,6,3
7.0,wine,7,4
7.0,to,8,2
7.0,be,9,2
7.0,served,10,6
7.0,blind,11,5
7.0,–,12,1
7.0,that,13,4
7.0,"is,",14,3
7.0,without,15,7
7.0,the,16,3
7.0,taster,17,6
7.0,having,18,6
7.0,seen,19,4
7.0,the,20,3
7.0,label,21,5
7.0,or,22,2
7.0,bottle,23,6
7.0,shape.,24,6
7.0,Blind,1,5
7.0,tasting,2,7
7.0,may,3,3
7.0,also,4,4
7.0,involve,5,7
7.0,serving,6,7
7.0,the,7,3
7.0,wine,8,4
7.0,from,9,4
7.0,a,10,1
7.0,black,11,5
7.0,wine,12,4
7.0,glass,13,5
7.0,to,14,2
7.0,mask,15,4
7.0,the,16,3
7.0,color,17,5
7.0,of,18,2
7.0,the,19,3
7.0,wine.,20,5
8.0,Orange,1,6
8.0,juice,2,5
8.0,is,3,2
8.0,a,4,1
8.0,liquid,5,6
8.0,extract,6,7
8.0,of,7,2
8.0,the,8,3
8.0,orange,9,6
8.0,tree,10,4
8.0,"fruit,",11,6
8.0,produced,12,8
8.0,by,13,2
8.0,squeezing,14,9
8.0,oranges.,15,8
8.0,Commercial,1,10
8.0,orange,2,6
8.0,juice,3,5
8.0,with,4,4
8.0,a,5,1
8.0,long,6,4
8.0,shelf,7,5
8.0,life,8,4
